Character,Episode,Clean_text,Sentiment_Scores,neg,neu,pos,compound,Episode_Numeric,Season
Cartman,101,"I know what it means! I'm not telling you. He-yeah, that's what Kyle's little brother is all right!  Ow!  That's 'cause I was having these... bogus nightmares. Well, I dreamt that I was lying in my bed... ...in the dark, when all of a sudden this bright blue light filled the room. Then slowly my bedroom door began to open...  ...and then the next thing I remember, I was being drug through a hallway. Weeaak! Then I was lying on a table... ...and these scary aliens wanted to operate on me. And they had big heads and big black eyes. What? No, it was just a dream, my mom said so. Oh, shut up guys! You're just trying to make me scared. And it's not working. Kick ass.  Huh? Eh, no, that, that was just a dream. And I'm not fat, I'm big boned! Oh! Oh! No! Uh-I mean, eh, why would they do that? No! Shut up, dildo! Oh! God damn it, they didn't do anything to my ass! It was just a dream! Shut up! Shut up you guys, it's not working. Heh, somebody's baking brownies.  Heh, heh, that's a, that's, that's a little joke. Heh, heh. Hah, hah. yelled at you. Ow! My ass!  Uh... Ow! My ass! No, that was just a dream. No,, I'm fine.  Oh!! Whoa, I sure am hungry. Shut up, dude, you're being totally immature.  Stan wants to ki-iss Wendy Testabur-ger. I'm not fat. And you obviously like her because you throw up every time she talks to you. Or slip her the tongue. You are making it up. What?  Oh, I see. Now you're going to join in on the little joke huh? Oh, you guys sure are going a long ways to try and scare me. I want my Salisbury steak! Oh!! You guys, my ass, seriously..! I would if I could, you son of a bitch! Uh—Would you stop going on about your little brother? I know it was just a dream, I know I didn't have an anal probe, and I know that I'm not under alien control! I love to singa, About the moona and June-a and the springa, I love to singa, About a sky of blue-a or a tea for two-a... Ah, son of a bitch! You guys, shut up. I'm not under alien control. Uh... Hey... Ow!  That hurts, you buttlicker! No! He's not dead. Shut up, you guys. God damn it, I didn't have an anal probe!  Screw you guys, I'm goin' home.  Dildo! Hi, Mom. Well, I'm pissed off! I don't want powdered donut pancake surprise. at school call me fat! That's what I said. No! No, leave me alone mom!   What? Well, that does sound pretty good. Uh, Mom? If anybody calls or comes over, I'm not here, okay? Yeah, I want Cheesy Poofs. Hey, that kind of looks like... Tom Selleck. No, Kitty, this is mah pot pie. No, Kitty, you bad kitt--! No, Kitty, it's mah pot pie! Mom! Kitty's being a dildo!  What? No, Kitty, you can't have any! No, Kitty, this is mah pot pie! Bad Kitty--! Eh, 'scuse me, Kitty. Dude, weak mom. I can't, my mom said...  But mom, I don't want to spend time with my little friends-- God damn it! You guys, I have to get home. Oh, man, this sucks.  Ow! Really? Uh, I don't think I have to fart anymore tonight. I don't wanna. Okay, that's does it! Now listen! Why is it that everything today has involved things either going in or coming out of my ass?! I'm sick of it! It's completely immature. You guys can't scare me! I know you're making it all up. Sure, you guys, what-ever. You guys, I am seriously getting pissed off right now! I know there is no such things as aliens! Oh, God damn it! What the hell are they talking about? You guys, get me down from here! Ow! Help! Sons o' bitches! Dildos! Puh! Ah, man, I had this crazy nightmare last night. Well, I was standing out in a field, and I had this huge satellite dish sticking out of my butt. And then there was... hundreds of cows and aliens, and then I went up on the ship and Scott Baio gave me pinkeye.  Oh right,  why don't I have pinkeye then? Ahh, son of a bitch!","{'neg': 0.16, 'neu': 0.721, 'pos': 0.119, 'compound': -0.9903}",0.16,0.721,0.119,-0.9903,101,1
Cartman,102,"Ugh, I hate those things. Well, you know, you'll just be sitting there, minding your own business, and they'll come, marching in and crawl up your leg and start biting the inside of your ass, and you'll be all like: ""EHY! GET OUT OF MY ASS YOU STUPID RAINBOWS!""  I'm talking about rainbows, I hate those friggin' things! Ohh, rainbows. Oh yeah, I like those, those are cool. Huh? Oh, nothing, forget it. Nothing..! What? Kick ass! Yeah I do, pop tarts are frosted. Oh, you know, this and that. There you see, you shouldn't have written a paper about dolphins. Dolphins are stupid. Buh, hah, right, if they're so damn smart, how come they get caught in those fishing nets all the time? You guys, guess what? After I'm on television, I'm gonna be totally famous. Hey! That kid is me. Me!! Yes ma'am.  I'm gonna be on television, I'm gonna be on television.  ...I'm gonna be on television, I'm gonna be on television... Egh, stop defending your little girlfriend for writing about some stupid fish. Intelligent and friendly on rye bread with some mayonnaise. If they're so smart, why do they live in igloos? Dolphins, Eskimos, who cares?! It's all a bunch of tree hugging hippie crap! I can't. I have to go home and get in shape. Screw you, hippie! Yeah, I only weigh 90 pounds. Yes! Beefcake! Beefcake! Mom, can you get me some Weight Gain 4000? But mom, I need it for tomorrow.  Mm-mo-om, Ah-ee née-eed suh-ome Weight Gain Four Thousaaand! I need iiit! Hey dudes. Listen! I have a nice body and I want to show it off, you got that? I'm up to 94, thank you very much. Laugh all you want, I'm the one who's gonna be on TV, looking all buff. Weight Gain 4000, it's helping me bulk up. Ey! I don't have to take that kind of crap from you scrawny weaklings! Eh, eh. Sweet. Check me out, I'm such a beefcake I can't even get through the door. Eh. Yeah, I'm really starting to fill out nicely. I'm not fat! I'm getting in shape! No they don't, you jealous weakling! Hey! Oh look, another hippie. Peace, Wendy. Oooh, Two little hippies sit'n' in a tree... ...K I S S I N G. First comes the baby and... This is sweet. Camera crews are setting up and I'm looking totally ripped. Beefcake. Beefcaaake! Oh no you don't, you're not going to ruin my moment of fame. You got to get over this whole jealousy thing. Eihh, seriously. Just face it, I wrote a better paper than you. Cartman, God damn it. Here it is, my big moment of fame. Hey! Wait a minute! When do I get to be on television?  But I won the environmental essay contest. When is this going to be on the air? Follow your dreams, you can reach your goals; I'm living proof. Beefcake. Beefcaaake!","{'neg': 0.104, 'neu': 0.711, 'pos': 0.185, 'compound': 0.9897}",0.104,0.711,0.185,0.9897,102,1
Cartman,103,"Okay, Mom. Dude, that's sick mom. Drive, Drive! Drive the car damn-it, drive! Shut up, I'm not scared of nothing. You piece of crap, I'll kill you! Eeeeenh! Hey, I didn't get a gun. Sweet. This is like the gun I used in 'Nam Hey, I'll blow your friggin' head off. My mom says there's a lot of black people in Africa. Democrats piss me off! Kickass!! Ah, dude! I'm starting to have flashbacks. Danforth, pull up flank! Look out for Charlies- up in the trees! I got your back, soldier. Yeah hippie, go back to Woodstock if you can't shoot anything. I can shoot you too! I'll fill you full of lead! My weenies won't cook. Hey you guys, this works pretty good right meah. Heh, tha-that's not scary. Shut up, I didn't pee in my pants! Hey, you would taste my pee! Hey you guys. I know a scary story. Oh yeah? Have you guys ever heard of  Scuzzlebutt? Scuzzlebutt is a creature that lives up on this very mountain, and kills anybody who dares climb to the top. Because, it loves the taste of blood, and likes to add pieces to its deformed body. Well, on his left arm, instead of a hand, he has... No! A piece of celery. Yeah, and he walks with a limp. Because one of his legs is missing. And where his leg should be, there's nothing but...Patrick Duffy. What do you mean? Have you ever seen Step By Step?  So he lives alone on this mountain, and weaves baskets, and other assorted crafts. They say that on quiet nights you can hear him weaving his baskets. Tashink ...tashink ...tashink. Hey, it might be! Screw you guys! ...Go to Hell! They don't think Scuzzlebutt is scary huh? Let's see how they like it when they actually see Scuzzlebutt! I'll scare the hell out of 'em tomorrow! I am Scuzzlebutt, Lord of the Mountains. Behold my leg.  Heheh. Those guys are totally scared. Holy crap! What the hell is wrong with you people?! Hey, wait, aah! You guys, it's just me. Eh, gotta get out of this stupid costume. You guys, you guys, I was just kidding! Hey, seriously you guys! Hey! Goddammit, don't shoot me! I was just trying to scare you guys, you can put the guns down now. Help! What?! Scuzzlebutt's real?! Yeah, cartoons kick ass! ","{'neg': 0.144, 'neu': 0.721, 'pos': 0.135, 'compound': -0.9195}",0.144,0.721,0.135,-0.9195,103,1
Cartman,104,"Eh. You're making me sick, dude. No way. Everybody knows that Sylvester is the toughest dog in South Park. Oh yeah? Let's see. Hey, Sylvester! I'll put a dollar on Sylvester. Huh. He's doing something to his ass. He's not kicking his ass, but he's definitely doing something to his ass. Yeah dude, I think your dog is gay. That dog is a gay homosexual. Stan's dog's a homo. Stan's dog's a homo. What's homecoming? There he goes again. Stan forgot to mention that his dog is a gay homosexual. ...and so you see, Simon & Simon were not brothers in real life, only on television. Ah, dammit! Eeyy! Wait a minute, why the hell does he get an A-? That's not fair! Stupid puppet. You guys see me block that defense today? I was kicking ass. Hey, speaking of pounding ass, here comes Stan's little homo dog. Man, that is the gayest dog I have ever seen. He still looks pretty gay to me. There he goes! No way dude, my mom says God hates gay people. That's why he smote the sodomies in France. Oh, Marty's Movie Reviews are on, kick ass! Maybe he went shopping for some leather pants.  Ow! Did you check the shopping ma-  Ow! We'll just see about that. No I didn't. That was just my shoes. That's right, you get back there. Stan, you need to lay off the cough syrup, alright, seriously. I'm worried about you man.","{'neg': 0.199, 'neu': 0.722, 'pos': 0.079, 'compound': -0.9888}",0.199,0.722,0.079,-0.9888,104,1
Cartman,105,"Hey Stan, where'd you get that black eye? Your sister beat you up again, huh? Eheh, you know, heh, your sister kicked your ass. I would never let a woman kick my ass. If she tried anything, I'd be like, ""hey, you get your bitch ass back in the kitchen, and make me some pie!"" Be a man Stan. Just say, ""Hey woman, ye-you shut your mouth and make babies."" That's why my mom got me a pot-bellied pig. Cause its poop is small.  If a woman ever gave me crap, I'd say, ""Hey, you go do my laundry and-""  Yes ma'am. Ehh, you leave Fluffy out of this! You're not using any of Fluffy's blood, or else I'll kick you in the nuts. Kyle, Kyle no! Nobody's splicin' nothing from Fluffy! Yeah, if some sissy chick tried to kick my ass, I'd be all like, ""Hey, listen, missy, eh, yewhy don't you go knit me sweater before I slap you in the face!""  Well, looks like nobody's home. Guess we should come back some other time. It's okay Fluffy, I won't let them hurt you. Baby?! Well, at least I don't get my ass kicked by a girl! Hey! I'm taking my pig and...Screw you guys! I'm going home! This whole idea's stupid anyway. Hey! Why don't you go back to San Francisco with the rest of the Jews?! I'll kick you in the nuts! Eh, it's okay Fluffy, nobody's going to hurt you. Heyyy, these bunny ears are tied on with little strings. You can keep your hands off of Fluffy's ass! Come on Fluffy! UUuuhh. I sure am hungry. Go away, Pip! Nobody likes you! God Damnit, would you shut the hell up?! Nobody gives a rat's ass. Gah, French people piss me off. Ugh!... Hey! I'll kick your ass! Whaaat?! I don't think my pig would want to make love to that stupid elephant. Why? Is your sister gonna kick your ass again? Yeah, if some girl tried to kick my ass, I'd be like, ""hey, why don't you stop dressin' me up like a mailman, annnd making me dance for you while you go and smoke crack in your bedroom and have sex with some guy I don't even know, on my dad's bed!"" I'm just saying you're just a little wuss, that's all. No, you don't gotta get Cartman's pig! You leave Fluffy out of this! Kyle no, seriously. No fuckin' elephant is going to make love to my Fluffy, I... Kyle, I will kick you in the nnnnuts. Fluffy! Well, good job Einstein, why don't we just build a rocket in the meantime? Hey! I ain't helpin' crap! I want to eat some paeh. Oh yeah, watch me.  Hey, it kind of looks like. That'll do pig.","{'neg': 0.161, 'neu': 0.727, 'pos': 0.112, 'compound': -0.984}",0.161,0.727,0.112,-0.984,105,1
Cartman,106,"Ha, ha, ha, that's sweet! That's a bunch of crap! Kyle's mom is a dirty Jew! That's for your stupid mother! She made me miss last night! Why does this happen every month? It seems like, right around the same time every month, Kyle's mom gets a hair up her ass about something and I always end up getting screwed by it!  Oh, gee, I wonder who's mother that could have been? What? Hey, maybe we can get him to Kyle's mom! Man! I can't believe we're gonna miss today. I think I'm already having withdrawal. Just kill 'im dude, maybe he'll give you some money. Yeah, like assisted suicide. What about that? I would never kill somebody... not unless the piss me off. What! Hey! You piece of crap! I'll kill you! Don't talk about my mom like that! Ah, I can't believe that son of a bitch! Oooh, Snacky Cakes, god dang. Hey you guys, is on! Yeah, just cause your mom is a stupid bitch doesn't mean the whole world has to suffer. Oh, biiitch. Your—mom—is--a--bi-bi-bii-biittchh. Uh oh, I bet I know what's coming. Dude, he's gonna fart on his head again. Hey, you're gonna miss it, Kenny. Hurry up Kenny, you're gonna miss the fart. I don't know. Why don't we just shoot him? Aaaah, runrunruuun! Ehh, eh, ehhhh! Uh oh, don't look there, Phillip, you're gonna get farted on. You son of a bitch, your mom sucks! Ohhh, God, No! My uncle says that smoking crack is kinda cool. Yeah!","{'neg': 0.222, 'neu': 0.661, 'pos': 0.117, 'compound': -0.9902}",0.222,0.661,0.117,-0.9902,106,1
Cartman,107,"What the hell is that thing? There's no such thing as UFOs. Hey, wait til you see my Halloween costume tomorrow. It kicks ass. Hey, dudes. It's costume. Sieg Heil, sieg heil. My mom made it, isn't it cool? What are you supposed to be Stan, Howdy Doody? Ohh, heh- wow, you look pretty cool. Oh look out, Holly Hobby's all pissed off! Kenny's family is so poor that, yesterday, they had to put their cardboard box up for a second mortgage. I said, your family had to put a cardboard box up for a second mortgage, Kenny! I'm talking to you Kenny, achtung! Poor piece of crap. There, you see? All of a sudden, my costume is pretty badass, huh? You're just jealous! Why don't you go back to Endor you stupid wookie?!  Wookies don't live on Endor. What?! What did you say? Hey Kenny, are you gonna eat your pudding?  No Eric, go ahead and take my pudding, if you'd like.  Why thank you Kenny. How nice of you. Eating Kenny's pudding. Hey, he said I could have his pudding! Ask him yourself. That's right,. It's okay with me because Eric is cool. My mom made it. Sieg Heil, Sieg Heil! Eeehh, I don't want to see a educational video-o. Juden est verboten, a den ascriber utz, kapieda hockuh. Juden est verboten, God dammit!  Could I see that again? That was cool. I can't, I have to win those two tons of candy.  I don't wanna be a stupid scary ghost! Boo! I'm a ghost. Aw, come on Stan, maybe that's just because you look like a total choad. Hey Chef. Whoa, Chef's really scared of ghosts, huh? What is that? Who? Where the hell is Kyle, we don't have all night to wait for him. Are you crazy?! I'm the candy master. Hey, I'm not the one who walked around all day looking like Pippi Longstocking. God damn it, my mom is not on the cover of Crack Whore magazine!! Check. Yeah, granola pisses me off. Whew! Eh, you stink Kenny. Eh, too bad drinking scotch isn't a paying job, or else Kenny's dad would be a millionaire. I said your dad would be a millionaire, get it?! Kenny?! Your family is poor Kenny!! Your family's poor!!! I don't like Kenny anymore, he, he just doesn't communicate. Hi Wendy. You what?! Are you insane?! How can he be mad with such pretty hair and rosy cheeks? Nice going Kenny, she was about to give us candy. You owe me a Sweetie Pop, asshole! Damn it! We'll never get any candy if Kenny keeps eating people! Heyy. They're all dressed up like ghosts too. One Tootie Bar? You cheap bastards! Can we have some candy now please?! I'm trying to trick-or-treat God dammit! Then, there won't be anyone to give us candy! Aaah! It was Kyle. Remember candy, focus on the candy. Eh, shit... You guys, shit... It's the British kid! He's a little limey zombie now! Hey, there's a pay phone! Nobody screws up my trick-or-treats and gets away with it! Aaah, kew! Finish her dude, she's a zombie now! Come on Stan! Remember how she dissed you at the costume contest? Kill her Stan! Ok, let's go trick-or-treatin' now, come on! Let, let us remember the good times, Kenny would have wanted it that way. Well, let's go home, start eating that candy. Knock it off you guys, she said she was young, and needed the money. Lehh, eh, screw you guys!","{'neg': 0.168, 'neu': 0.75, 'pos': 0.082, 'compound': -0.9954}",0.168,0.75,0.082,-0.9954,107,1
Cartman,109,"Get out of the way mah! The Terrance and Phillip Thanksgiving Special is on. And yeah, we want Cheesy Poofs! Did you guys see that? That was sweet. Yeah, HEY! That's stupid, who the hell would want to do that? KICK ASS!! When do we get the sports watch? You vas-deferens! I get to wear it first, you guys. Yeah, but I get to wear it first, I said. When they cut up a chick's stomach to get a baby out?? Why do poor people always smell like sour milk? I'm not bringin' in food for poor people, Screw them! Hey you guys, do you hear something?! Ah- I think I hear the flower children calling! Isn't it enough that I pay taxes?! What about the poor houses that, that I pay for?! Well then, perhaps they should, and decrease the surplus population! I get to use it first you guys! Mom, did our digital sports watch come yet? What the hell? Yeah, Starvin' Marvin. Hey mooom? We found a Etheropian, can we keep him? Sweet. No no! He's my son! I adopted him. Yeah, and never with Kenny, because his family is too poor. Ahh! Yeah. Here you get to eat all you want for only $6.99. That's why we all come here on Tuesday nights, except for Kenny's family 'cause to them $6.99 is two-years income. Why is your family poor Starvin' Marvin? Is your dad an alcoholic too? You see Starvin' Marvin, these are what we call appetizers. This is what you eat before you eat, to make you more hungry. Welp, food is here, that's it for the appetizers. No Starvin' Marvin, that's my pot-pie. Oh yeah, you're right. Yeah, that's right. No, Starvin' Marvin, that's Kenny's creamed corn. No Starvin' Marvin, that's a bad Starvin' Marvin! Oh well, back to the poor country with you. B-huh, huh. Yeah, right. Hey, hey, what's going on?! Hey, let go of me! God-! Ey! I'll kick you in the nuts. D'you hear me?! Hey! Hey seriously! Hey, you're pissing me off, Starvin' Marvin! Hey, somebody get me out of here! This sucks! I'm seriously getting pissed off over here!! Eh, This is serious bullshit! There has to be a Happy Burger around here somewhere. Excuse me, I am a lost little boy, could you help me? Well, screw you too! What the?! Who the hell let all these flies in here?! Hasn't anybody ever heard of insect repellent?! Damn, you guys, seriously, I'm hungry. I have to eat. Ah, sweet! The Red Cross! I'll have fried chicken and a side of mashed potatoes please. What?! But I'm not a starving Etheropian! I have to get back home too! WEEEEEEAK!!! Can't go on... need... appetizer... eh... I'm sorry, God, I'm sorry I mocked poor people. I'm sorry I wasn't more sensitive. Please, Please God, uhh. Heh, my god has forsaken me. Eh, err. Huh, I wonder what's in here? SNACKY CAKES!! MMMM!?! Gimme that cake! No, you gimme that cake! No, that's my cake eh-ehhhh! You guys, is holding food from us!!! That's right you will, God-Damnit. Move it POVs, I'm an American!","{'neg': 0.209, 'neu': 0.677, 'pos': 0.114, 'compound': -0.9964}",0.209,0.677,0.114,-0.9964,109,1
Cartman,110,"Oohhhh! Oh dude! Kyle's mom is here to ruin Christmas! I'm not fat, I'm festively plump. What the hell is Christmas Poo? Hey! What the hell are you doing? Jewish people can't eat Christmas snow! Yeah. We'll see you later, Kyle. Guess there's no reason for you to come, since you don't get Christmas presents. Too bad it's usually a dreidel or something lame like that. Uh, Kyle? Come on, seriously? You are really reaching right now. You're not gonna ride on Santa's sleigh 'cause you're a Jew, Kyle. Oh, boy! Super-bitch is at it again!  Never mind him. He's a very disturbed little boy. How do you know? Yeah? Well I sneaked around my mom's closet too, and saw what I'm getting. The Ultravibe Pleasure 2000. I don't know, but it sounds pretty sweet. Let me see! Is this some kind of Jewish tradition? Thanks to Kyle's mother. How about we sing ""Kyle's Mom is a Stupid Bitch"", in D minor. O-ho. Weeeeeeeeeellll Kyle's mom is a bitch, she's a big fat bitch, she's the biggest bitch in the whole wide world She a stupid bitch, if there ever was a bitch, she's a bitch to all the boys and girls. Monday she's a bitch, on Tuesday she's a bitch, on Wednesday to Saturday she's a bitch Then on Sunday, just to be different, she's a super King Kamehameha bi-atch! Have you ever met my friend Kyle's mom? She's the biggest bitch in the whole wide world. She's a mean ole bitch 'cause she has stupid hair, she a bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch she's a stupid bitch! Kyle's mom's a bitch and she's just a dirty bitch! KYLE'S MOOOM IS A - BIIIIII-I-I-ITCH - aahh. Gross, Kyle! YOU SICK BASTARD! Bye, Kyle! Happy Channukah! Well. Ol' Kyle's gonna be locked up for a while, so get used to it. 'Cause. He kept seeing this little brown piece of Christmas poo everywhere that he went. Okay, that does it! Screw this, I'm goin home! Talking poo is where I draw the line! Good-bye! Bring me lots of presents! I always believed in you! Yeah, something feels...unfinished.","{'neg': 0.395, 'neu': 0.52, 'pos': 0.084, 'compound': -0.9996}",0.395,0.52,0.084,-0.9996,110,1
Cartman,108,"Here you go, Kyle... And here's yours, Stan... They're invitations to my birthday party this weekend. Thaat's right. 'Cause it's my birthday, my bu bubu birthday... That's right. That's ri-aayy.  Oh, really? Gosh. Where could I have put Pip's invitation?? Let's see, Pip's invitation, Pip's invitation... Oh! I remember! I shoved it up my ass! Yeess, that's right. I wrote it out, put it in an envelope, sealed it, and then shoved it right up my ass, forever ruining any chance you had of coming to my birthday party! Sorry, Pip ol' chap! Here's yours, Wendy... and here's yours, Clyde... No, my birthday isn't until Saturday. Eeeeeeh! Hey, new kid. Do you want an invitation to my birthday party? Psych! I wasn't gonna give you an invitation, hehehehehehe! Hey, who cut your hair? Stevie Wonder? Byah. Oof!  Hey! I had a poofy pie in that desk! Eheh.  You got in trouble, you got in trouble. Right. That's what your supposed to get for my birthday. Look, it's very simple guys. Green Mega Man goes with Red Mega Man and Yellow Mega Man to make the Ultra Mega Mega Man. You have to have all three or it doesn't work, see? Oooh. So maybe you don't want to have any of my mom's cake, pie, and ice cream, then. Now. As you can see, Kenny, you are to get me Yellow Mega Man. That's because Yellow Mega Man is the cheapest one, and I know how poor your family is. Yeah. You can't sit with us, weirdo! Yich. Anyway Kenny, Yellow Man is only $8.95, so maybe your mom can put it on layaway and make payments for a year or two. Eeyy! Eeyy! Uh-turn him back you butt-hole, he has to buy me the Yellow Mega Man! Now, as you can see, the Red Mega Man uses thee... Mega Cycle, which is what Clyde will be getting me for my birthday. Wendy, you were supposed to get me the Mega Power Chopper, illustrated... here, but, I'm changing your present to the Yellow Mega Man, since Kenny has been turned into a... duck-billed platypus. That means that the Mega Man beach house, illustrated... heuh, will be a gift given by two people at once, 'cause it costs more money... Hey, wait a minute. Saturday is my birthday party. They can't have the fight on Saturday! Cartman's birthday! You guys, my mom is getting a Ferris wheel. Who the hell decided the fight had to be on Saturday, huh?! This whole thing is a plot against me, isn't it?! Don't mind him, Jesus, he's Jewish.  Oh, here comes the unholy butt-hole now. Ey! Thanks a lot for burning everything down, you little bitch!  Oh, excuse me new kid. I didn't mean to fart on you, I didn't have a choice! You guys, shouldn't you be out shopping for my birthday presents? Welcome, Clyde. Please put your present on the table to your left. Welcome, Bebe, presents go to your left. Welcome, Chef. Hey! What the hell do you think you're doing here? Yeah. Come on in and join the party.  Oooh I wonder what Stan got me for my birthday present? Oh look, a Blue Mega Maaan. Thank you, Stan, you may now eat pie and cake and ice cream now.  And what did Wendy get me? Oooh it's the Yellow Mega Maaan. Help yourself to pie and cake and ice cream, Wendy. Oh, look what Kyle got me? It's the Red Mega-... Ants In The Pants? Ants In The Pan- ANTS IN THE PANTS?!  You son of a bitch!  You were supposed to get me the red Mega Man, eh! Now I can't make the Ultra Mega Mega Man, you dirty cheap-ass piece of crap!  I hate you! I want you to die! Die!! Aah! Aaaaaggghhhhh!! That's it! Party is over! Everybody go home! Get the hell out, I said! The party's over! Get out goddammt!! Take your stupid Ants In The Pants with you! Eh... n-yeh. No... more... pie... eheh... seriously.","{'neg': 0.105, 'neu': 0.808, 'pos': 0.087, 'compound': -0.971}",0.105,0.808,0.087,-0.971,108,1
