Name,mainCategories,subCategory1,subCategory2,subCategory3,subCategory4
Rick Santorum,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
6th Grader with Green Jacket,['unnamed characters'],unnamed characters,,,
Matthew Broderick,['uncategorized'],uncategorized,,,
Pat Conners,['uncategorized'],uncategorized,,,
Intergalactic Police,['aliens'],aliens,,,
Brian (Sea Park Announcer),['uncategorized'],uncategorized,,,
Bob Dole,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Krishna,['religious figures'],religious figures,,,
Thor,"['crossover characters', 'aliens']",crossover characters,aliens,,
Mitch,['uncategorized'],uncategorized,,,
Cartman Impostor,"['4th graders', 'unnamed characters']",4th graders,unnamed characters,,
Slash,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Strawberry Shortcake,['crossover characters'],crossover characters,,,
Lucy Harris,['religious figures'],religious figures,,,
Rumpertumskin,['uncategorized'],uncategorized,,,
Mulan,['crossover characters'],crossover characters,,,
Chip Duncan,['monsters'],monsters,,,
Rookie Security Guard,['unnamed characters'],unnamed characters,,,
Mrs. Garrison Senior,['unnamed characters'],unnamed characters,,,
Bobby (Cartman Joins NAMBLA),['uncategorized'],uncategorized,,,
Mr. Hankey,['monsters'],monsters,,,
Heather Conduct,['school faculty'],school faculty,,,
Iggy Azalea,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Dr. Roberts,['uncategorized'],uncategorized,,,
Man with Brown Jacket,['unnamed characters'],unnamed characters,,,
Mayor's Rival,['unnamed characters'],unnamed characters,,,
Cows,['animals'],animals,,,
Luke Skywalker,['crossover characters'],crossover characters,,,
Marklar,['aliens'],aliens,,,
Geeky Computer Guys,['uncategorized'],uncategorized,,,
Bill O'Reilly,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Official Messenger Boy,['uncategorized'],uncategorized,,,
Earl of Winnipeg,['unnamed characters'],unnamed characters,,,
Mrs. Cotswolds,['uncategorized'],uncategorized,,,
Future Humans,['uncategorized'],uncategorized,,,
Benny Hill,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Carlos Mencia,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Injured Thief,['unnamed characters'],unnamed characters,,,
Wall-Mart Manager,['unnamed characters'],unnamed characters,,,
Brimmy,['4th graders'],4th graders,,,
Brooke Shields,['celebrities'],celebrities,,,
Max Weinberg,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Mrs. Zimmerman,['uncategorized'],uncategorized,,,
Danny Ganz,['uncategorized'],uncategorized,,,
Hazmat Workers,['uncategorized'],uncategorized,,,
Paul Shaffer,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Stella Reid,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Ali Khamenei,['political celebrities'],political celebrities,,,
Dave Beckett,['uncategorized'],uncategorized,,,
Mrs. Streibel,['school faculty'],school faculty,,,
Gary Condit,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Schroeder,['crossover characters'],crossover characters,,,
Steinburg & Burgstein Receptionist,['uncategorized'],uncategorized,,,
Teenager Girl with Orange Hair and Green Shirt,['unnamed characters'],unnamed characters,,,
Mr. Big Record Producer,['uncategorized'],uncategorized,,,
Penis Mouse,['animals'],animals,,,
Man with Green Coat,['unnamed characters'],unnamed characters,,,
Dave Fitzsimmons,['uncategorized'],uncategorized,,,
Motivation Corp. Director,['uncategorized'],uncategorized,,,
Ron Zappolo,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Mahatma Gandhi,"['political celebrities', 'historical celebrities', 'celebrities']",political celebrities,historical celebrities,celebrities,
Thad Jarvis,['uncategorized'],uncategorized,,,
Mr. Farkle,['uncategorized'],uncategorized,,,
Osama bin Laden,"['political celebrities', 'criminal celebrities']",political celebrities,criminal celebrities,,
Dr. Carroll,['uncategorized'],uncategorized,,,
Caine,['uncategorized'],uncategorized,,,
Doctor Tom,['uncategorized'],uncategorized,,,
John Edward,['celebrities'],celebrities,,,
