,Title,Air Date,Code,#,Descriptions,Cast,Season
0,Cartman Gets an Anal Probe,"August 13, 1997",101,1,"While the boys are waiting for the school bus, Cartman explains the odd nightmare he had the previous night involving alien visitors.","['Jason White', 'Herbert Garrison', 'Pip Pirrip', 'Liane Cartman', 'Mr. Kitty', 'Veronica Crabtree', 'Visitors', 'Kenny McCormick', 'South Park Express Conductor', 'Farmer Carl Denkins', 'Ike Broflovski', 'Kyle Broflovski', 'Eric Cartman', 'Mr. Hat', 'Officer Barbrady', 'Wendy Testaburger', 'Stan Marsh']",1
1,Weight Gain 4000,"August 20, 1997",102,2,"When Cartman's environmental essay wins a national contest, America's sweetheart, Kathie Lee Gifford, comes to South Park to present the award.","['Clyde Donovan', 'Weight Gain 4000 Ad Actor', 'Herbert Garrison', 'Liane Cartman', 'Veronica Crabtree', 'Mayor McDaniels', 'Geraldo Rivera', 'Kenny McCormick', 'Ted', 'Kathie Lee Gifford', 'Bebe Stevens', 'Kyle Broflovski', 'Eric Cartman', 'Mr. Hat', 'Jimbo Kern', 'Officer Barbrady', 'Wendy Testaburger', 'Stan Marsh']",1
2,Volcano,"August 27, 1997",103,3,"A weekend trip to experience the finer points of camping, fishing and blowing animals to smithereens is threatened by an erupting volcano.","['Lava and You Narrator', 'Scuzzlebutt', 'Herbert Garrison', 'Liane Cartman', 'Mayor McDaniels', 'Kenny McCormick', 'Ted', 'Patrick Duffy', 'Randy Marsh', 'Ned Gerblanski', 'Kyle Broflovski', 'Eric Cartman', 'Jimbo Kern', 'Officer Barbrady', 'Stan Marsh']",1
3,Big Gay Al's Big Gay Boat Ride,"September 3, 1997",104,4,"When Stan discovers his new dog Sparky is gay, he becomes so confused he loses his will to play in the big Homecoming Football game against North Park.","['Rex', 'Farmer Carl Denkins', 'Bill Allen', 'Big Gay Al', 'Mr. Hat', 'Sparky', 'Stan Marsh', 'Herbert Garrison', 'Jesus Christ', 'Frank Hammond and Phil', 'Kyle Broflovski', 'Eric Cartman', 'Clyde Donovan', 'Richard Stamos', 'Kenny McCormick', 'Jimbo Kern', 'Enrique', 'Pip Pirrip', 'Bartender', 'Sylvester', 'Fosse McDonald']",1
4,An Elephant Makes Love to a Pig,"September 10, 1997",105,5,"Kyle's mom won't let him keep his new pet, an elephant because it's so huge. So the boys turn to Dr. Mephesto to genetically engineer a smaller elephant.","['Shelly Marsh', 'Bill Allen', 'Mr. Hat', 'Stan Marsh', 'Herbert Garrison', 'Jesus Christ', 'Terrance Mephesto', 'Bebe Stevens', 'Elton John', 'Kyle Broflovski', 'Eric Cartman', 'Randy Marsh', 'Clyde Donovan', 'Clone Stan Marsh', 'Kenny McCormick', 'Jason White', 'Jimbo Kern', 'Officer Barbrady', 'Pip Pirrip', 'Sharon Marsh', 'Veronica Crabtree', 'Fluffy', 'Fosse McDonald', 'Dr. Alphonse Mephesto']",1
5,Death,"September 17, 1997",106,6,"Grandpa's sole birthday wish is for Stan to take part in his assisted suicide. Meanwhile, Mrs. Broflovski has organized a protest against the boys' favorite TV show, ""Terrance and Phillip"".","['Shelly Marsh', 'Marvin Marsh', 'Mr. Hat', 'Stan Marsh', 'Herbert Garrison', 'Jesus Christ', 'Great-Great-Grandpa Marsh', 'Mayor McDaniels', 'Randy Marsh', 'Kyle Broflovski', 'Eric Cartman', 'Clyde Donovan', 'Kenny McCormick', 'Officer Barbrady', 'Sharon Marsh', 'Liane Cartman', 'John Warsog', 'Sheila Broflovski', 'Suzanne Somers']",1
6,Pinkeye,"October 29, 1997",107,7,A mishap at the morgue transforms the residents of South Park into brain-eating zombies and threatens the boys' night of Trick-or-Treating.,"['Principal Victoria', 'Bill Allen', 'Mr. Hat', 'Stan Marsh', 'Midget Wearing a Bikini', 'Herbert Garrison', 'Mayor McDaniels', 'Morticians', 'Kyle Broflovski', 'Eric Cartman', 'Clyde Donovan', 'Adolf Hitler', 'Kenny McCormick', 'Officer Barbrady', 'Tom Pusslicker', 'Pip Pirrip', 'Veronica Crabtree', 'Fosse McDonald', 'Wendy Testaburger']",1
7,Starvin' Marvin,"November 19, 1997",109,8,"Mistaking Cartman for a starving African child, government authorities send him to Ethiopia where he runs into Sally Struthers.","['Principal Victoria', 'Mutant Turkeys', 'Mr. Hat', 'Stan Marsh', 'Carol McCormick', 'Herbert Garrison', 'Mayor McDaniels', 'Bebe Stevens', 'Kyle Broflovski', 'Eric Cartman', 'Stuart McCormick', 'Clyde Donovan', 'Federal Bureau of Investigation', 'Kenny McCormick', 'Sally Struthers', 'Officer Barbrady', 'Pip Pirrip', 'Liane Cartman', 'Ted', 'Wendy Testaburger', 'Dr. Alphonse Mephesto']",1
8,"Mr. Hankey, the Christmas Poo","December 17, 1997",110,9,"While South Park Elementary is attempting to stage a non-denominational holiday play that won't offend (or entertain) anyone, Kyle checks himself into the South Park mental asylum.","['Sheila Broflovski', 'Mr. Mackey', 'Herbert Garrison', 'Jesus Christ', 'Mr. Hankey', 'Mayor McDaniels', 'Gerald Broflovski', 'Kenny McCormick', 'Santa Claus', 'Randy Marsh', 'Father Maxi', 'Kyle Broflovski', 'Eric Cartman', 'Jimbo Kern', 'Officer Barbrady', 'Wendy Testaburger', 'Stan Marsh']",1
9,Damien,"February 4, 1998",108,10,"After being shunned by the others kids, Damien, the Son of Satan, calls upon his father to fight Jesus in the ultimate Pay-Per-View Boxing Match between good and evil.","['Mr. McDonald', 'Michael Buffer', 'Stan Marsh', 'Satan', 'Jesus Christ', 'Herbert Garrison', 'Don King', 'Bebe Stevens', 'Kyle Broflovski', 'Eric Cartman', 'Clyde Donovan', 'Kenny McCormick', 'Damien Thorn', 'Jimbo Kern', 'Mr. Allen', 'Mills Lane', 'Pip Pirrip', 'Liane Cartman', 'Father Maxi', 'Wendy Testaburger']",1
